,,,,,,,,PRE-CP,,,,,,,,POST-CP,,,,,,IMPROVEMENT,,
Group,Method,Backbone,Dataset,NUM_DATA,model_size,WANDB LINK,RESPONSIBLE,knn_f1_mean,knn_f1_std,linear_f1_mean,linear_f1_std,finetune_f1_mean,finetune_f1_std,WANDB LINK,RESPONSIBLE,knn_f1_mean,knn_f1_std,linear_f1_mean,linear_f1_std,finetune_f1_mean,finetune_f1_std,knn_f1_improvement_mean,lp_f1_improvement_mean,ft_f1_improvement
,LeJEPA-CP,DINOv3,Galaxy10,500,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-galaxy10,haodong,0.4434,0.0140,0.5107,0.0102,0.6738,0.0163,,haodong,0.449733,0.025644,0.556202,0.012566,0.648491,0.014937,0.0063,0.0455,-0.0253
,LeJEPA-CP,DINOv3,Galaxy10,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-galaxy10,haodong,0.4652,0.0125,0.5612,0.0107,0.7145,0.0129,,haodong,0.485773,0.014530,0.615035,0.015143,0.691201,0.017361,0.0206,0.0538,-0.0233
,LeJEPA-CP,DINOv3,Galaxy10,10000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-galaxy10,haodong,0.5450,0.0062,0.6058,0.0187,0.7994,0.0047,,haodong,0.636706,0.005396,0.726636,0.011003,0.793630,0.011407,0.0917,0.1208,-0.0058
,LeJEPA-CP,DINOv3,Galaxy10,MAX (14188),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-galaxy10,haodong,0.5625,0.0137,0.6122,0.0098,0.8016,0.0130,,haodong,0.652596,0.006044,0.735761,0.007176,0.795839,0.003635,0.0901,0.1236,-0.0058
,LeJEPA-CP,MAE,Galaxy10,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-galaxy10,haodong,0.2518,0.0125,0.3265,0.0047,0.7058,0.0028,,haodong,0.420820,0.024476,0.476468,0.004980,0.677389,0.019129,0.1690,0.1500,-0.0284
,LeJEPA-CP,MAE,Galaxy10,MAX (14188),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-galaxy10,haodong,0.3415,0.0128,0.3587,0.0053,0.8133,0.0043,,haodong,0.588405,0.012134,0.633528,0.013467,0.797757,0.001876,0.2469,0.2748,-0.0155
,LeJEPA-CP,CLIP,Galaxy10,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-galaxy10,haodong,0.3707,0.0123,0.3853,0.0331,0.6649,0.0057,,haodong,0.412639,0.010522,0.494582,0.004875,0.604495,0.009759,0.0419,0.1093,-0.0604
,LeJEPA-CP,CLIP,Galaxy10,MAX (14188),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-galaxy10,haodong,0.4428,0.0176,0.4569,0.0217,0.8074,0.0075,,haodong,0.608190,0.010640,0.658254,0.006871,0.776615,0.005254,0.1654,0.2014,-0.0308
,LeJEPA-CP,DINOv3,Food101,101,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-diet-dinov3-food101?nw=nwuserhaodoz0118,haodong,0.5525,0.0227,0.4754,0.0081,0.2965,0.0058,,haodong,0.552462,0.022732,0.462746,0.001964,0.425440,0.015477,0.0000,-0.0127,0.1289
,LeJEPA-CP,DINOv3,Food101,500,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-diet-dinov3-food101?nw=nwuserhaodoz0118,haodong,0.7098,0.0093,0.7803,0.0069,0.6546,0.0016,,haodong,0.553174,0.007469,0.698597,0.011332,0.745087,0.002821,-0.1566,-0.0817,0.0905
