,,,,,,,,PRE-CP,,,,,,,,POST-CP,,,,,,IMPROVEMENT,,
Group,Method,Backbone,Dataset,NUM_DATA,model_size,WANDB LINK,RESPONSIBLE,knn_f1_mean,knn_f1_std,linear_f1_mean,linear_f1_std,finetune_f1_mean,finetune_f1_std,WANDB LINK,RESPONSIBLE,knn_f1_mean,knn_f1_std,linear_f1_mean,linear_f1_std,finetune_f1_mean,finetune_f1_std,knn_f1_improvement_mean,lp_f1_improvement_mean,ft_f1_improvement
,LeJEPA-CP,DINOv3,Food101,10000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-diet-dinov3-food101?nw=nwuserhaodoz0118,haodong,0.8741,0.0013,0.9115,0.0029,0.8583,0.0027,,haodong,,,,,,,,,
,LeJEPA-CP,DINOv3,Food101,25000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-diet-dinov3-food101?nw=nwuserhaodoz0118,haodong,0.8935,0.0026,0.9276,0.0010,0.8833,0.0038,,haodong,,,,,,,,,
,LeJEPA-CP,DINOv3,Food101,MAX (75750),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-diet-dinov3-food101?nw=nwuserhaodoz0118,haodong,0.9124,0.0000,0.9381,0.0009,0.9033,0.0032,,haodong,0.854504,0.000606,0.886074,0.003513,0.897436,0.001265,-0.0579,-0.0520,-0.0058
,LeJEPA-CP,MAE,Food101,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-food101?nw=nwuserhaodoz0118,haodong,0.0318,0.0005,0.1574,0.0054,0.3904,0.0089,,haodong,,,,,,,,,
,LeJEPA-CP,MAE,Food101,MAX (75750),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-food101?nw=nwuserhaodoz0118,haodong,0.1034,0.0000,0.4305,0.0014,0.8719,0.0015,,haodong,,,,,,,,,
,LeJEPA-CP,CLIP,Food101,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-food101?nw=nwuserhaodoz0118,haodong,0.6995,0.0083,0.7093,0.0064,0.4302,0.0034,,haodong,,,,,,,,,
,LeJEPA-CP,CLIP,Food101,MAX (75750),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-food101?nw=nwuserhaodoz0118,haodong,0.8683,0.0000,0.8933,0.0005,0.8496,0.0019,,haodong,,,,,,,,,
,LeJEPA-CP,DINOv3,FGVC_Aircraft,100,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-fgvc_aircraft,haodong,0.3487,0.0199,0.2711,0.0132,0.1388,0.0056,,haodong,,,,,,,,,
,LeJEPA-CP,DINOv3,FGVC_Aircraft,500,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-fgvc_aircraft,haodong,0.4463,0.0040,0.5199,0.0069,0.4658,0.0214,,haodong,,,,,,,,,
,LeJEPA-CP,DINOv3,FGVC_Aircraft,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-fgvc_aircraft,haodong,0.5152,0.0013,0.6079,0.0158,0.6085,0.0113,,haodong,,,,,,,,,
